RAJ2000	DEJ2000	HIP	RArad	DErad	Plx	pmRA	pmDE	Hpmag	B-V
335.6602702374	+47.6323280813	110473	335.66026342	+47.63233530	   2.58	    1.89	   -2.97	10.0444	 0.206
335.6607634049	-37.7116204903	110474	335.66045196	-37.71153644	   3.71	  101.37	  -34.58	10.5777	 0.625
335.6628678314	-19.3497910194	110475	335.66283779	-19.34979447	   1.04	   11.66	    1.42	 8.9297	 1.039
335.6724223127	+42.9511862985	110476	335.67242248	+42.95119930	   2.72	   -0.05	   -5.35	 9.3251	 0.084
335.6745859926	+78.8661105366	110477	335.67438939	+78.86608915	   1.74	   15.62	    8.80	 8.5343	 0.023
335.6841904689	-45.9479476423	110478	335.68409091	-45.94791814	   6.13	   28.48	  -12.14	 5.4957	 2.231
335.6870070290	-38.7541727498	110479	335.68705188	-38.75417800	   6.81	  -14.39	    2.16	 8.3069	 0.323
335.6906053438	-31.9817370532	110480	335.69052015	-31.98166569	   2.01	   29.73	  -29.36	10.3437	 0.893
335.6906364526	-44.3248049796	110481	335.69042890	-44.32480889	   9.95	   61.09	    1.61	 8.6393	 0.422
335.6915133474	+39.6353368661	110482	335.69152594	+39.63534384	   3.69	   -3.99	   -2.87	 8.9904	 0.315
335.6970170455	-29.6194850564	110483	335.69578791	-29.61919989	  25.51	  439.62	 -117.33	 8.3329	 0.752
335.6987165055	-46.1653440082	110484	335.69862073	-46.16535820	   4.76	   27.29	    5.84	 8.4595	 0.370
335.7009919544	+85.0617174573	110485	335.70000429	+85.06168640	   4.69	   34.98	   12.78	 7.3151	 0.973
335.7080319503	+33.5958291395	110486	335.70795328	+33.59587760	  10.93	   26.96	  -19.94	 7.7009	 0.498
335.7095068292	+36.6590450952	110487	335.70949377	+36.65891705	   7.30	    4.31	   52.68	 6.6156	 1.052
335.7119974640	+75.0049080052	110488	335.71140301	+75.00484199	   7.74	   63.28	   27.16	 7.8370	 1.002
335.7122210590	-27.5848557226	110489	335.71220998	-27.58477928	   1.64	    4.04	  -31.45	 9.5145	 0.782
335.7164150647	-71.4744274786	110490	335.71625840	-71.47439216	   2.44	   20.48	  -14.53	 9.2262	 0.400
335.7272692332	-27.5530675485	110491	335.72711936	-27.55302273	  11.17	   54.67	  -18.44	 8.7434	 0.424
335.7282173514	+19.0420662868	110492	335.72816582	+19.04208286	   4.28	   20.04	   -6.82	 8.2689	 0.198
335.7370371561	+16.3243985677	110493	335.73698650	+16.32446069	   4.77	   20.00	  -25.56	11.2656	 0.000
335.7393906359	-45.1251282372	110494	335.73946184	-45.12510894	   4.41	  -20.67	   -7.94	 8.2882	 0.302
335.7420703683	-44.0620921152	110495	335.74164341	-44.06204018	   9.40	  126.23	  -21.37	 8.3028	 0.374
335.7475568699	+67.1560396509	110496	335.74751317	+67.15609696	   3.18	    6.98	  -23.58	 8.1063	 1.371
335.7507808024	+57.2846133872	110497	335.75070350	+57.28460070	   3.22	   17.19	    5.22	 6.1413	-0.112
335.7521755069	+62.4193584876	110498	335.75207256	+62.41932818	   4.39	   19.61	   12.47	 6.0619	 0.035
335.7518497943	-59.0746778661	110499	335.75187940	-59.07466379	   6.76	   -6.26	   -5.79	 9.3379	 0.569
