1.29125,45.22916666666667,-0.012,-0.018,0.0,-0.022534656307019597,0.9997460623904075,0.0,-0.7097490639436617,-0.015998013717560954,0.7042729086002023,6.7,9750.0,203,219,255
1.2658333333333334,-0.5030555555555556,0.045,-0.06,0.0,-0.022091162233979972,0.9997559604979367,0.0,0.008777720326852279,0.0001939573770467134,0.9999614562603898,6.29,5100.0,255,229,209
1.3337499999999998,-5.7075000000000005,-0.009,0.089,0.014,-0.0232762266096439,0.9997290719364005,0.0,0.09942305756558555,0.0023148207680285015,0.9950425605114196,4.61,5000.0,255,228,205
1.425,13.39611111111111,0.045,-0.012,0.0,-0.024868377876385465,0.9996907340681904,0.0,-0.23161022554124638,-0.005761552460685003,0.9727916056062448,5.51,5500.0,255,237,222
1.5666666666666669,58.43666666666666,0.263,0.03,0.047,-0.02734008443968618,0.9996261900244665,0.0,-0.851743577311197,-0.023295449396017267,0.5234407326016601,5.96,5500.0,255,237,222
1.5791666666666668,-49.075,0.565,-0.038,0.05,-0.027558168391124058,0.9996202015540334,0.0,0.7552807492080377,0.02082206225613614,0.6550705546726603,5.7,5900.0,255,244,234
1.6104166666666668,64.19611111111111,0.008,0.0,0.0,-0.028103372508449444,0.9996050222231035,0.0,-0.8999336342515597,-0.02530116355358757,0.4352922065298375,5.59,12000.0,191,211,255
1.6533333333333333,29.02138888888889,0.38,-0.182,0.067,-0.028852105838934577,0.9995836913378784,0.0,-0.48493412135397695,-0.013997197748883977,0.8744386636018704,6.13,5000.0,255,228,205
1.70875,-23.1075,0.1,-0.045,0.0,-0.029818892831586563,0.9995553179440838,0.0,0.3922829987785804,0.011702648658096839,0.919770132632969,6.18,8250.0,217,227,255
1.8258333333333332,-17.386388888888888,-0.018,0.036,0.0,-0.03186141011310203,0.9994922963913252,0.0,0.2986623867299397,0.009520638451459186,0.9543113413327187,6.19,8500.0,214,225,255
1.9337500000000003,-2.548888888888889,0.027,-0.002,0.0,-0.03374389737542316,0.9994305125369732,0.0,0.044446505185240334,0.0015006529126870929,0.9990106386909271,6.43,14000.0,183,206,255
1.9450000000000003,-22.50888888888889,0.052,-0.044,0.0,-0.03394013444594308,0.9994238676726663,0.0,0.3826061999075575,0.012993191662465865,0.9238201517409764,5.94,9500.0,205,220,255
2.0145833333333334,-33.529444444444444,-0.037,0.0,0.0,-0.0351538677007884,0.9993819117763116,0.0,0.5520240378425636,0.019417781896292736,0.8336020701691065,5.68,4850.0,255,224,200
2.050416666666667,-2.447777777777778,0.009,-0.003,0.0,-0.03577888387534296,0.9993597307619688,0.0,0.04268144202829657,0.0015280727359288952,0.9990875634798478,6.07,4700.0,255,221,195
2.097083333333333,29.090555555555554,0.136,-0.163,0.032,-0.03659283741099103,0.9993302578478312,0.0,-0.4858657212923343,-0.017791120806362616,0.8738523770600691,2.06,14000.0,183,206,255
2.0725,-8.823888888888888,-0.052,-0.033,0.0,-0.036164061307769925,0.9993458663894738,0.0,0.15329751199200595,0.005547489421292005,0.9881645096734559,5.99,5200.0,255,231,212
2.1708333333333334,36.626666666666665,-0.1,-0.145,0.044,-0.03787912498610495,0.9992823284188944,0.0,-0.5961702968364803,-0.02259862757965823,0.8025398925919004,6.19,6300.0,255,251,244
2.1391666666666667,-17.5775,0.0,-0.025,0.0,-0.037326828280592333,0.9993031111181988,0.0,0.3017850930041314,0.011272536049250227,0.9533093346713364,6.06,3500.0,255,192,140
2.2175000000000002,25.462777777777777,0.114,0.031,0.0,-0.03869301478192056,0.9992511449115713,0.0,-0.42960268991645817,-0.016635080495966178,0.9028647755414076,6.23,5000.0,255,228,205
2.334166666666667,79.71472222222222,0.102,-0.027,0.002,-0.040727625790635935,0.999170286036098,0.0,-0.9831145676580813,-0.04007317149086498,0.1785493987251923,6.01,8250.0,217,227,255
2.294583333333333,59.14972222222222,0.525,-0.181,0.072,-0.040037329846356606,0.9991981846554637,0.0,-0.8578218754418783,-0.03437245774053249,0.5127964159023091,2.27,7200.0,236,238,255
2.2600000000000002,18.211944444444445,0.137,-0.024,0.0,-0.039434213526861314,0.999222168891142,0.0,-0.3122898544332949,-0.012324491174631462,0.9499069184584972,5.53,5100.0,255,229,209
2.2600000000000002,-54.00194444444445,0.051,0.016,0.009,-0.039434213526861314,0.999222168891142,0.0,0.8084076474509402,0.03190373550429201,0.5877577963784986,6.33,5600.0,255,239,225
2.3375,-27.98777777777778,0.072,-0.004,0.023,-0.04078575509261042,0.9991679149079626,0.0,0.46889271991621556,0.01914006980595683,0.8830477195131623,5.42,7200.0,236,238,255
2.3529166666666668,-45.7475,0.124,-0.181,0.066,-0.04105460131548632,0.9991569044503604,0.0,0.7156676105797432,0.029406240697421697,0.6978217137458009,3.88,5000.0,255,228,205
2.509583333333333,11.145555555555555,0.041,-0.003,0.017,-0.04378648827924494,0.9990409117969953,0.0,-0.19311673213953678,-0.008464021271305201,0.9811392806893756,5.51,12000.0,191,211,255
2.580416666666667,46.07222222222222,0.008,0.0,-0.002,-0.04502154369370549,0.998986016220165,0.0,-0.7194845701376245,-0.03242518462266351,0.6937510798089356,5.03,7200.0,236,238,255
2.62375,57.16555555555556,0.023,0.006,0.0,-0.04577707320255473,0.9989516802974046,0.0,-0.8393599524806004,-0.03846376430995942,0.5422134349191952,6.74,16000.0,178,203,255
2.578333333333333,-5.248611111111111,0.036,-0.033,0.0,-0.04498521950735891,0.9989876525892974,0.0,0.09138487265423574,0.004115134501760385,0.9958071453439172,5.84,4850.0,255,224,200
